start,end,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0 days 00:00:05.950000,0 days 00:00:06.010000,58.734478,0.7358797,0.0,0.10067194,0.3701559,4.6812654,0.39884007,0.81783056,0.00746075,0.07067271,0.105886765,0.2145292,0.38492665,0.47780585,0.46408275,0.6770232,0.8656168,0.9185844,0.8688686,0.7470903,0.837143,0.87002355,1.1908213,1.659791,1.2412695,0.93969554,1.1409754,1.632799,1.0263802,1.2041676,1.0868133,0.77515775,0.58491117,0.52803725,0.43906745,0.38212338,0.0029334966,0.0019252546,114.84375,315.8203,588.5742,1119.7266,0.08179,502.62085,3.9143403,743809.7,9.266507,144.68861,-0.0028006185,0.45110646,0.0034473494,24.18762,1.1043304,6.662192,3.208236,-7.8110332,7.694651,16.986082,38.07972,8.307283,-24.441572,-7.5948443,10.242699,-7.04525,-7.7785645
0 days 00:00:05.960000,0 days 00:00:06.020000,58.230957,0.74050933,0.057381526,0.0,0.34138158,5.348749,0.36026764,0.8243354,0.007555882,0.091458805,0.11020806,0.22338541,0.38074434,0.45248088,0.46418437,0.6636856,0.83456475,0.88667065,0.8639863,0.73228073,0.81110024,0.7805157,1.0720984,1.5570542,1.2633039,0.90844876,1.1728729,1.6856035,1.1155734,1.2374458,1.1996083,0.90038985,0.6675288,0.56835145,0.45811334,0.42251924,0.002126811,0.00078412466,100.48828,143.55469,373.2422,660.35156,0.067143686,426.97812,3.5118942,1223256.4,8.778019,121.4936,-0.0025151197,0.3714668,0.0036399623,19.730055,10.504697,9.572689,5.535883,-5.582685,7.222193,16.406786,28.101974,6.5857606,-17.003136,-6.34375,9.927667,-8.316939,-3.4047565
0 days 00:00:05.970000,0 days 00:00:06.030000,57.4384,0.7545616,0.057381526,0.10269866,0.31260726,6.0277,0.34612855,0.8292815,0.0076883123,0.117913835,0.11709887,0.24115394,0.3917537,0.4399191,0.48310742,0.6049092,0.73911685,0.79857606,0.7841491,0.6995423,0.743705,0.6766452,0.89752275,1.3275253,1.2385305,0.8965338,1.1866145,1.6203114,1.2440944,1.2965455,1.3183545,1.1481204,0.8563068,0.6743298,0.5966807,0.5401717,0.0016041187,0.0004832358,100.48828,129.19922,258.39844,2583.9844,0.06199192,685.8191,3.46289,3362554.2,6.2015533,66.480446,-0.0023468211,0.5337252,0.0035119436,13.364839,20.675175,8.130729,8.358696,-6.2609982,11.611966,14.85665,23.668243,3.7502165,-15.220004,-6.9866805,9.3826475,-5.2585354,-1.552447
0 days 00:00:05.980000,0 days 00:00:06.040000,57.63428,0.7523772,0.0,0.10394055,0.31333616,4.654918,0.33916223,0.8440109,0.008111298,0.15444696,0.12548591,0.24938412,0.40138328,0.43448767,0.48075747,0.51097655,0.5973935,0.6853625,0.68240356,0.65921813,0.6516152,0.5786242,0.719407,1.0692255,1.1479737,0.90772796,1.1651977,1.4675016,1.3486274,1.3934884,1.4548026,1.472282,1.1498224,0.8703168,0.92231315,0.79850405,0.001474026,0.00033733636,71.77734,100.48828,258.39844,4766.0156,0.071600266,1125.7089,3.4691439,6513504.0,3.560318,22.042738,-0.0025703178,0.8318043,0.0030331751,8.190263,27.1565,4.6656075,13.055158,-6.364988,14.410235,14.154042,21.293036,-2.458208,-12.702923,-3.5862732,10.006484,0.7661834,3.1085975
0 days 00:00:05.990000,0 days 00:00:06.050000,58.38753,0.75412035,0.0,0.10642431,0.31333616,2.6059816,0.33222166,0.87200993,0.009586845,0.18909045,0.13328262,0.23604704,0.39836347,0.43582478,0.45386425,0.4256262,0.45462862,0.58957005,0.6108889,0.6189919,0.58512396,0.532675,0.5758696,0.8506584,1.0682424,0.9189873,1.1438386,1.3067307,1.4056965,1.4693383,1.5538214,1.7577838,1.4606932,1.1273407,1.3564192,1.2019504,0.0013293118,0.0002750777,57.421875,86.13281,244.04297,7048.535,0.08638468,1448.5673,3.476844,8882296.0,2.145684,7.135364,-0.0038476263,1.0580806,0.0025571927,5.5500026,30.957361,2.678953,19.81822,-5.0925183,19.790083,12.508706,17.765383,-6.1097684,-10.671756,-0.71110433,11.8474655,1.2399917,8.435887
0 days 00:00:06,0 days 00:00:06.060000,58.540386,0.73796874,0.0,0.10642431,0.31333616,1.4224186,0.3462927,0.9081459,0.011343217,0.21504158,0.14069627,0.22155957,0.39196515,0.42240894,0.42407766,0.37461028,0.36588585,0.519191,0.5620887,0.6011786,0.5607122,0.52023053,0.511627,0.7565959,1.0313066,0.91788024,1.093431,1.1763321,1.4040304,1.4844809,1.6042137,1.8647108,1.6651349,1.458569,1.8070368,1.7318407,0.0010429458,0.00024944087,71.77734,2081.543,2469.1406,7321.289,0.13168372,2360.8098,3.6484575,10969496.0,1.3146235,4.357738,-0.0047466788,1.7006092,0.0077324207,3.533822,34.956604,0.76204664,27.920553,-7.6628413,18.320314,8.322698,20.464209,-1.5567755,-6.003139,2.977722,6.7166085,-2.3617952,3.064416
0 days 00:00:06.010000,0 days 00:00:06.070000,59.273067,0.7220599,0.0,0.10642431,0.31333616,2.039461,0.36985365,0.94689006,0.012358878,0.23834719,0.14814998,0.2249844,0.38611606,0.40532026,0.42974448,0.36702883,0.32729706,0.448841,0.5267722,0.60301447,0.5670734,0.5434394,0.502058,0.7199373,1.0451108,0.89414614,1.0509285,1.0994769,1.3792443,1.4639126,1.6468366,1.8702973,1.7711678,1.8292208,2.1358128,2.2332106,0.0010456309,0.0002621856,86.13281,3359.1797,4751.66,7823.7305,0.14265843,3128.3318,4.218891,13112724.0,0.86208296,3.2676895,-0.0049474235,2.2496076,0.009679965,2.4734287,38.323513,0.4626467,28.214859,-7.3485923,15.259246,5.1508937,21.467102,3.5707686,-2.9922287,5.9537315,7.5397263,-2.2030978,-1.6962142
0 days 00:00:06.020000,0 days 00:00:06.080000,58.851826,0.7126381,0.0,0.10642431,0.31333616,2.6723187,0.39802238,0.9968906,0.011746845,0.25623584,0.14649881,0.23471539,0.38032198,0.40556252,0.47370982,0.41994333,0.33568928,0.3940862,0.49674264,0.62486,0.5879552,0.5773146,0.5337644,0.71935123,1.0588166,0.86646295,1.0322938,1.133268,1.426219,1.478273,1.7532247,1.8738364,1.8445755,2.1993988,2.3600445,2.5622294,0.0014026178,0.00035238106,172.26562,5713.4766,7522.2656,8584.57,0.15458937,4607.6387,5.2627635,15472216.0,0.11700619,2.0191476,-0.0034961868,3.3120606,0.011714692,0.6464016,38.701984,-1.5328989,21.1034,-11.740849,9.8772,-1.3457407,21.560759,6.7090297,-4.369969,10.650884,8.678841,-4.1381683,-4.75806
0 days 00:00:06.030000,0 days 00:00:06.090000,58.96101,0.71833175,0.0,0.10642431,0.31333616,2.7743466,0.39897525,1.0528401,0.010997615,0.27261278,0.1377407,0.23304988,0.37928155,0.4278933,0.52916485,0.49477068,0.37046185,0.36749116,0.50264865,0.6742199,0.62013453,0.6134414,0.5869737,0.72241354,1.0242424,0.86266583,1.051725,1.2734231,1.6101254,1.5523863,1.9643531,1.9403472,1.9572786,2.4264657,2.4666793,2.5844648,0.0014773202,0.00047218148,172.26562,5928.8086,7995.996,9144.434,0.12783228,5106.5186,5.8061237,16464425.0,0.031426325,2.1405013,-0.0026860673,3.6840305,0.009169585,-0.064463176,36.961384,-0.33798203,14.706019,-5.793951,13.191963,-4.868938,14.830956,7.0803146,-7.389866,7.6898932,12.603493,-3.8269417,-2.646653
0 days 00:00:06.040000,0 days 00:00:06.100000,57.776703,0.7304122,0.0,0.10642431,0.31333616,2.8555634,0.40544334,1.0950241,0.011401333,0.27727386,0.12709616,0.2208411,0.37501314,0.46592903,0.5697778,0.5416216,0.404426,0.37553978,0.53983456,0.70491534,0.6547865,0.6513503,0.6288334,0.72011036,0.97198343,0.8836711,1.0997566,1.4648541,1.8863324,1.625432,2.1883564,2.0327125,2.1053572,2.3927963,2.4637759,2.3755229,0.0014172563,0.00047718795,186.6211,6818.8477,8082.129,9115.723,0.123359956,5234.4824,5.9105716,16015620.0,-0.08363509,2.0222132,-0.003061326,3.7752144,0.009211741,-0.96563405,37.562527,1.3228303,14.835236,-7.217381,12.631419,-5.285934,16.506472,9.54663,-7.9032097,4.475675,12.220384,-2.5142052,1.1018342
