start,end,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0 days 00:00:02.900000,0 days 00:00:02.960000,193.18645,0.77758723,0.0,0.0,0.24383388,2.6666746,0.34591028,1.1366938,0.019184625,0.055555552,0.1393829,0.29994568,0.47423515,0.8720874,0.9325276,1.1644926,0.9627953,0.8279626,1.0544988,1.1057283,1.1240563,1.0460473,1.1054816,1.8736677,2.3387403,1.5105748,1.9167136,2.5648258,1.7227306,1.8996086,1.5249809,0.98178846,0.6855736,0.55947345,0.45958337,0.4065334,0.03840783,0.0010995375,281.25,354.16666,416.66666,562.5,0.09824055,406.08078,3.7577772,164144.11,6.5005555,61.453533,-0.008429966,0.41275024,0.01816462,27.294882,6.6020255,26.175097,-9.508922,-29.000938,-16.284334,-10.326835,5.4272194,-4.755491,0.9246679,11.864184,0.6204904,-1.6360747,-4.5314546
0 days 00:00:02.910000,0 days 00:00:02.970000,193.96338,0.7817786,0.0928748,0.0,0.17564613,6.3115983,0.37898245,1.393807,0.024510352,0.051736113,0.13926332,0.31874648,0.49928084,1.127154,1.2873586,1.6211725,1.3829241,1.1001245,1.2478482,1.187169,1.1634036,1.0921792,1.2079059,2.1923401,3.092398,2.0177,2.218707,3.418991,2.1596537,2.3630412,1.905619,1.1845735,0.7767663,0.6197689,0.50095713,0.41393757,0.06481921,0.001162016,354.16666,375.0,416.66666,531.25,0.09892002,413.90775,3.2306776,102627.945,7.946135,95.90824,-0.013200023,0.43276098,0.030842049,29.640457,7.0137544,25.308344,-15.769618,-35.33611,-15.741646,-8.168685,2.3562953,-8.88321,0.6058169,10.705604,-3.0201855,2.957626,1.2822393
0 days 00:00:02.920000,0 days 00:00:02.980000,194.3194,0.7812676,0.06581511,0.050071325,0.08027693,10.643323,0.39398026,1.5765743,0.02801505,0.04826389,0.13990194,0.34735188,0.5389609,1.4099699,1.6550466,1.9788523,1.8302511,1.3432635,1.4636234,1.262271,1.1838421,1.0926251,1.205531,2.1708467,3.5196698,2.6565907,2.3272922,3.8853073,2.5302298,2.5394819,2.1638935,1.326422,0.83406305,0.65930086,0.5171873,0.40915737,0.082428806,0.0011756517,354.16666,375.0,406.25,520.8333,0.08174673,398.64243,3.059555,76006.49,8.597935,108.91339,-0.016903711,0.42280218,0.03906885,30.876795,8.429282,26.206808,-17.603743,-34.81402,-12.250699,-7.9826217,-4.2202606,-11.864109,5.6044574,13.441203,-3.359007,4.192497,3.4801714
0 days 00:00:02.930000,0 days 00:00:02.990000,194.75075,0.7727669,0.006991888,0.038357873,0.0955201,13.467984,0.3967198,1.6390642,0.028710594,0.052083332,0.1406918,0.3693544,0.5759427,1.5982772,1.9017353,2.1265988,2.1323617,1.4199915,1.617586,1.3222836,1.1319003,1.0577904,1.1517048,1.8767262,3.5204496,3.2465198,2.248213,3.7850666,2.7749698,2.449703,2.2734146,1.3978053,0.8802874,0.698323,0.5092517,0.4087192,0.088575095,0.0011564877,364.58334,375.0,406.25,520.8333,0.07463009,400.6813,3.0719054,70878.59,8.862184,117.264656,-0.018045666,0.42602387,0.04110694,30.615097,10.789073,27.35559,-18.676844,-35.825115,-14.885453,-4.4211035,-5.215483,-10.021594,7.8023467,15.41731,-5.5484157,3.7939994,4.7653117
0 days 00:00:02.940000,0 days 00:00:03,195.1027,0.7449286,0.0071164183,0.00950153,0.09445205,12.392322,0.40045226,1.6172714,0.027807489,0.061458334,0.1501603,0.37576282,0.58232933,1.6265665,1.9510474,2.1233158,2.2289069,1.3356334,1.6512159,1.3697009,1.0922228,1.0457283,1.07383,1.5694977,3.3138514,3.605811,2.098345,3.4430077,2.8930874,2.2511158,2.2334442,1.4077924,0.95307446,0.75603265,0.49659896,0.42098328,0.084793605,0.0012703593,354.16666,375.0,406.25,562.5,0.0756651,399.19284,3.2568438,82162.81,7.9228396,96.55131,-0.01782772,0.42196295,0.039031044,30.062042,11.805911,26.9512,-18.038109,-35.080807,-13.948295,-3.7692509,-8.485274,-1.1217438,12.760591,18.775118,-7.3913865,-0.5601582,9.050666
0 days 00:00:02.950000,0 days 00:00:03.010000,195.29169,0.71535355,0.0048267636,0.009494235,0.12181933,-25.819366,0.37578973,1.5555006,0.026145883,0.09722223,0.1523812,0.3642691,0.56534576,1.528676,1.8688656,2.080344,2.188035,1.1929625,1.5277663,1.3362409,1.0532546,1.0716281,1.0247804,1.3363746,3.0667515,3.661609,1.957694,3.1190197,2.866709,2.0691674,2.135478,1.427537,1.0727648,0.8375357,0.50023025,0.43760172,0.07448604,0.0009668668,364.58334,385.41666,406.25,562.5,0.0857259,407.4812,3.157876,77948.77,8.841879,119.301414,-0.015123473,0.4320873,0.03297063,28.431456,12.923362,24.042284,-17.720686,-37.769295,-19.855255,-5.0348854,-9.6115055,3.564191,9.919322,13.060055,-11.783317,2.2686505,11.005772
0 days 00:00:02.960000,0 days 00:00:03.020000,0.0,0.68438166,0.0,0.0,0.0,-62.872013,0.33702955,1.4512547,0.02241718,0.15347223,0.15158872,0.34375536,0.5288233,1.3541532,1.6907614,1.9654388,2.0578973,1.0799488,1.3417797,1.2522138,1.0635269,1.0989069,0.99113894,1.1744791,2.778632,3.3557327,1.778448,2.8448808,2.630886,1.840138,1.9441276,1.3989388,1.1534041,0.91253155,0.5433567,0.45713627,0.05261149,0.0007443828,291.66666,375.0,406.25,562.5,0.112057894,372.0978,3.4191475,84626.164,9.024045,133.87178,-0.011748165,0.39353928,0.022951918,28.96913,15.022861,19.924358,-10.516306,-33.73965,-12.489263,-6.1689763,-9.478735,6.970571,12.048099,16.359575,-10.80777,0.56040066,7.66937
0 days 00:00:02.970000,0 days 00:00:03.030000,0.0,0.6471503,0.0,0.0,0.0,-100.0,0.28069517,1.3066899,0.016869381,0.24791665,0.14711079,0.32163146,0.48745,1.0847816,1.3974887,1.7110819,1.8001037,0.989573,1.1881064,1.1618222,1.0718087,1.0918921,0.9800829,1.0663217,2.378994,2.824836,1.5343543,2.448786,2.2527168,1.6115909,1.747798,1.3425951,1.1773099,0.9869084,0.65914315,0.5096485,0.027125588,0.00040563682,208.33333,302.08334,343.75,572.9167,0.122553915,391.18082,3.633087,500180.34,8.228257,112.88327,-0.006645946,0.38490307,0.012081039,24.755531,18.898474,12.9661,-1.8216127,-27.073572,-8.783286,-1.1257786,0.30821165,2.5219975,7.994695,14.124062,-13.961255,0.7943061,0.11484146
0 days 00:00:02.980000,0 days 00:00:03.040000,0.0,0.6173888,0.0,0.0,0.0,-100.0,0.2509293,1.1634129,0.012687691,0.35451388,0.14807008,0.30171773,0.44403055,0.7891183,1.0551065,1.3619317,1.4673147,0.9156677,1.0936073,1.0967642,1.0174826,1.0192028,0.96178585,1.0092506,1.9065377,2.1809466,1.2752041,1.9844657,1.8567683,1.4414082,1.6490463,1.3141931,1.2372988,1.1459543,0.9039262,0.67193514,0.007822749,0.00020602324,104.166664,229.16667,354.16666,2604.1667,0.1109607,689.6634,4.207336,2518641.0,5.44875,64.37578,-0.0033505314,0.5625196,0.004513832,18.700396,27.226507,5.5571194,5.541973,-20.358522,-0.019518113,2.4713829,5.9278893,2.3419547,5.378094,15.432411,-8.133485,1.3313588,-2.2551208
0 days 00:00:02.990000,0 days 00:00:03.050000,0.0,0.59026027,0.0,0.0,0.0,-100.0,0.24879296,1.093779,0.012029901,0.44965276,0.1539223,0.27913395,0.3879188,0.5439026,0.7503691,1.0289685,1.1315728,0.8449385,1.0433124,1.0463663,0.93320984,0.936066,0.9456846,0.9886558,1.5010128,1.6501924,1.0681943,1.5636215,1.6002785,1.4122982,1.7296935,1.4386119,1.5041765,1.5252314,1.3484699,1.0824474,0.003123276,0.00014024986,62.5,229.16667,2260.4167,4875.0,0.08459874,1344.7985,4.4529247,5731154.5,2.5415032,11.220581,-0.0017071856,1.0021694,0.0027052804,10.076121,34.42937,-1.9385233,10.519618,-16.068766,-3.32951,2.3309605,9.077824,0.8690488,4.198478,13.599828,-2.9878452,7.6497855,1.0155152
0 days 00:00:03,0 days 00:00:03.060000,0.0,0.5796158,0.0,0.0,0.0,-100.0,0.26067927,1.1220138,0.0138121545,0.51145834,0.14920232,0.2474792,0.32466975,0.4346571,0.581867,0.7590978,0.8645559,0.8047645,0.94721526,0.9634364,0.8597253,0.8993475,0.950548,0.9773486,1.1799514,1.2548152,0.9720052,1.3087331,1.4646182,1.4784279,1.9496555,1.7379766,2.0238054,2.1792438,1.9437279,1.915481,0.0034587998,0.00011556174,1947.9166,2635.4167,4656.25,7156.25,0.08153375,3060.4993,4.5798893,8372479.5,0.48710963,2.8911812,-0.00029484494,2.216565,0.0049438477,5.1430817,39.281723,-7.323784,15.597579,-15.8715105,-5.728601,-8.9109745,4.3585663,3.5490925,4.66145,7.1449685,5.746882,10.8182745,8.782235
0 days 00:00:03.010000,0 days 00:00:03.070000,0.0,0.56110764,0.0,0.0,0.0,-100.0,0.2654724,1.2087842,0.014795641,0.515625,0.14108208,0.21980186,0.26229405,0.42758498,0.5310032,0.57250935,0.66764945,0.774651,0.8514069,0.9013646,0.88457745,0.90072304,0.9814536,0.9528517,0.9778219,1.0121791,0.9613263,1.2063417,1.3851653,1.5450186,2.157115,2.0924637,2.5830889,2.893429,2.4818375,3.063647,0.0033852682,0.000116204996,3895.8333,5041.6665,7010.4165,7479.1665,0.09278396,4531.508,4.66135,9257716.0,-0.53413725,2.3108218,0.001069838,3.2675335,0.00654941,2.8333175,40.425404,-10.94517,20.037584,-12.864646,-4.3232584,-13.057311,1.703393,0.72088593,9.069201,7.795282,11.931122,13.774372,10.878666
0 days 00:00:03.020000,0 days 00:00:03.080000,0.0,0.5743262,0.0,0.0,0.0,-100.0,0.26339304,1.2831525,0.0146269305,0.48576388,0.123399146,0.19389653,0.21908347,0.44327763,0.5196343,0.44801828,0.5464726,0.750911,0.7509594,0.8897681,0.9595626,0.9182094,1.0104326,0.9404769,0.88885355,0.88217974,0.99139935,1.1776246,1.3275981,1.5921817,2.2626903,2.3545866,2.90297,3.3916872,2.8175519,4.058538,0.0023749166,0.0001333622,6010.4165,7447.9165,7541.6665,7604.1665,0.11101378,5993.7925,4.8941154,7414614.5,-1.6346918,4.318848,0.0025414012,4.3134713,0.0073195845,0.12458801,39.004562,-13.095639,19.736736,-14.030944,-1.7894601,-14.826579,0.031206975,-2.5678084,7.865977,9.367175,9.265437,9.593205,9.405017
